QUEST_LV_0500_20190419_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20210809_001099	고장난 보관함 확인하기	
QUEST_LV_0500_20210809_001100	고장 난 보관함을 확인하세요	
QUEST_LV_0500_20210809_001101	조각난 파울루스의 영혼을 회수하기{nl}영혼을 모두 모으면 안전한 곳으로 이동해 파울루스의 영혼을 복구할 수 있습니다	
QUEST_LV_0500_20210809_001102	고장 난 보관함에서 성공적으로 영혼 구속제를 획득했습니다{nl}그러나, 폭발의 영향으로 파울루스의 영혼까지 조각나버렸습니다{nl}파울루스의 영혼이 완전히 사라지기 전에 그의 영혼들을 다시 모으세요{nl}영혼을 모두 모으면 안전한 곳으로 이동해 파울루스의 영혼을 복구할 수 있습니다	
QUEST_LV_0500_20210809_001103	파울루스와 대화하기{nl}영혼을 모두 모으면 안전한 곳으로 이동해 파울루스의 영혼을 복구하세요	
QUEST_LV_0500_20210809_001104	다행히 파울루스의 영혼을 모두 모았습니다{nl}파울루스와 이야기하세요	
QUEST_LV_0500_20210809_001105	파울루스와 대화하세요	
QUEST_LV_0500_20210809_001106	레버 작동시키기	
QUEST_LV_0500_20210809_001107	아샤크 지하 감옥 격리 구역으로 진입하기 위해서는 모크슬라들의 우두머리를 처치해야 합니다{nl}레버를 작동시켜 모크슬라 발도바스를 부르세요	
QUEST_LV_0500_20210809_001108	아샤크 지하 감옥 격리구역으로 진입하기	
QUEST_LV_0500_20210809_001109	모크슬라 발도바스를 처치했습니다{nl}이제 안전하게 격리 구역으로 진입할 수 있습니다	
QUEST_LV_0500_20210809_001110	아샤크 지하 감옥 격리 구역으로 향하기	
QUEST_LV_0500_20210809_001111	아샤크 지하 감옥 격리 구역으로 이동하세요{nl}파울루스와 파야우타가 기다리고 있습니다	
QUEST_LV_0500_20210809_001112	광기의 마르녹스 막기	
QUEST_LV_0500_20210809_001113	습격한 광기의 마르녹스를 저지하세요	
QUEST_LV_0500_20210809_001114	광기의 마르녹스가 수세에 몰리자 도망쳤습니다{nl}파울루스와 대화하세요	
QUEST_LV_0500_20210809_001115	우측으로 마르녹스의 퇴로를 차단하기	
QUEST_LV_0500_20210809_001116	오른쪽의 길로 이동하며 마르녹스의 퇴로를 차단하세요	
QUEST_LV_0500_20210809_001117	마르녹스의 부하들을 처치하고 함정 설치하기	
QUEST_LV_0500_20210809_001118	광기의 마르녹스를 따르는 무리를 처치하고 함정을 설치해 퇴로를 차단하세요	
QUEST_LV_0500_20210809_001119	다음 지점으로 광기의 마르녹스를 계속 몰아넣기	
QUEST_LV_0500_20210809_001120	첫 번째 지점에 폭탄을 설치하고 마르녹스를 따르는 무리를 처치했습니다{nl}다음 지점을 향해 이동하세요	
QUEST_LV_0500_20210809_001121	광기의 마르녹스를 상대하고 폭탄을 설치하기	
QUEST_LV_0500_20210809_001122	광기의 마르녹스를 발견했습니다{nl}광기의 마르녹스를 격퇴하고 폭탄을 설치하세요	
QUEST_LV_0500_20210809_001123	좌측으로 마르녹스의 퇴로를 차단하기	
QUEST_LV_0500_20210809_001124	왼쪽의 길로 이동가며 마르녹스의 퇴로를 차단하세요	
QUEST_LV_0500_20210809_001125	파야우타와 합류하기	
QUEST_LV_0500_20210809_001126	한 쪽 길의 퇴로를 모두 막았습니다{nl}합류 지점에서 파야우타와 합류하세요	
QUEST_LV_0500_20210809_001127	습격하는 몬스터들 격퇴하기	
QUEST_LV_0500_20210809_001128	광기의 마르녹스가 막다른 길에 몰리자 중앙 감시 지역으로 도망쳤습니다{nl}광기의 마르녹스와 파야우타의 뒤를 쫓기 위해 습격해오는 몬스터들을 처치하세요	
QUEST_LV_0500_20210809_001129	파야우타와 이야기하기	
QUEST_LV_0500_20210809_001130	광기의 마르녹스가 중앙 감시 지역으로 도망쳤습니다{nl}마지막으로 그를 쫓기 전에 파야우타와 대화하세요	
QUEST_LV_0500_20210809_001131	습격해오는 몬스터들 처치	
QUEST_LV_0500_20210809_001132	중앙 감시 구역으로 가기	
QUEST_LV_0500_20210809_001133	몬스터들의 습격을 막아냈습니다{nl}파야우타와 광기의 마르녹스가 사라진 중앙 감시 구역으로 이동하세요	
QUEST_LV_0500_20210809_001134	파울루스 처치하기	
QUEST_LV_0500_20210809_001135	파울루스가 본색을 드러내고 파야우타를 습격했습니다{nl}광기의 마르녹스의 몸을 지배하고 있는 파울루스를 저지하세요	
QUEST_LV_0500_20210809_001136	쓰러진 파울루스의 상태를 확인하기	
QUEST_LV_0500_20210809_001137	쓰러진 파울루스의 상태를 확인하세요	
QUEST_LV_0500_20210809_001138	파울루스 처치	
QUEST_LV_0500_20210809_001139	파야우타의 상태를 확인하기	
QUEST_LV_0500_20210809_001140	파야우타의 상태를 확인하세요	
QUEST_LV_0500_20210809_001141	주시자를 쫓기 전에 파야우타와 이야기하세요	
QUEST_LV_0500_20210809_001142	주시자를 추적하기	
QUEST_LV_0500_20210809_001143	주시자를 추적하세요	
QUEST_LV_0500_20210809_001144	주시자 추격하기	
QUEST_LV_0500_20210809_001145	주시자를 쫓아가세요	
QUEST_LV_0500_20210809_001146	주시자는 어딘가로 향하며 당신에게 이야기하고 있습니다{nl}몬스터들의 공격을 뚫고 주시자를 쫓으세요	
QUEST_LV_0500_20210809_001147	주시자가 사라진 방향으로 주시자를 추격하세요	
QUEST_LV_0500_20210809_001148	몬스터를 처치하고 주시자 추격하기	
QUEST_LV_0500_20210809_001149	몬스터들의 습격을 저지하고 주시자를 추격하세요	
QUEST_LV_0500_20210809_001150	주시자가 사라진 방향으로 주시자를 쫓아가세요	
QUEST_LV_0500_20210809_001151	몬스터들의 습격을 저지하고 주시자를 쫓으세요	
QUEST_LV_0500_20210809_001152	쓸모없는 어보미네이션을 처치하기	
QUEST_LV_0500_20210809_001153	쓸모없는 어보미네이션이 나타났습니다{nl}어보미네이션을 처치하고 주시자를 추격하세요	
QUEST_LV_0500_20210809_001154	주시자 추격	
QUEST_LV_0500_20210809_001155	습격을 막아내기	
QUEST_LV_0500_20210809_001156	습격해오는 몬스터들을 처치하고 주시자를 계속 추격하세요	
QUEST_LV_0500_20210809_001157	크루비나 장벽을 부수기	
QUEST_LV_0500_20210809_001158	주시자가 만들어낸 크루비나 장벽을 부수고 주시자를 추격하세요	
QUEST_LV_0500_20210809_001159	%s 부수기	
QUEST_LV_0500_20210809_001160	막아서는 적들을 모두 처치하기	
QUEST_LV_0500_20210809_001161	주시자를 추격하기 위해 막아서고 있는 적들을 모두 처치하세요	
QUEST_LV_0500_20210809_001162	길을 막아서고 있는 몬스터 처치	
QUEST_LV_0500_20210809_001163	주시자와 전투	
QUEST_LV_0500_20210809_001164	주시자가 당신과 대면합니다{nl}주시자를 상대하세요	
QUEST_LV_0500_20210809_001165	주시자와 대면하기	
QUEST_LV_0500_20210809_001166	주시자와 대면하세요	
QUEST_LV_0500_20210809_001167	오르샤의 영주와 대화하기	
QUEST_LV_0500_20210809_001168	오르샤의 영주와 대화하세요	
QUEST_LV_0500_20210809_001169	채플린 마스터에게서 성자의 기도소에 관한 소문을 듣기	
QUEST_LV_0500_20210809_001170	채플린 마스터는 오르샤가 마족에게 침공당한 시점에서 계시자에게 특별히 부탁하고 싶은 일이 있다고 합니다{nl}채플린 마스터를 찾아가 성자의 기도소에 관한 소문을 들으세요	
QUEST_LV_0500_20210809_001171	덧댄다리 숲의 아발리스터 마스터를 찾아가기	
QUEST_LV_0500_20210809_001172	채플린 마스터는 아발리스터 마스터가 말했던 장소가 성자의 기도소일 확률이 크다고합니다.{nl}오르샤에 지원 간 아발리스터 마스터를 찾아가세요.	
QUEST_LV_0500_20210809_001173	양쪽의 길 중 한 방향을 선택해 광기의 마르녹스 포위하기	
QUEST_LV_0500_20210809_001174	오른쪽 길과 왼쪽 길 중 한 곳을 선택해 광기의 마르녹스를 포위해야 하세요	
QUEST_LV_0500_20210809_001175	Episode13-1 지역에서 변이형 몬스터 2000마리 처치	
QUEST_LV_0500_20210809_001176	Episode13-1 지역의 변이형 몬스터 처치	QUEST_LV_0500_20210115_000732	Episdoe13 지역의 변이형 몬스터 처치	
QUEST_LV_0500_20210809_001177	Episode13-1 지역에서 곤충, 악마, 식물형 몬스터 2000마리 처치	
QUEST_LV_0500_20210809_001178	Episode13-1 지역의 곤충, 악마, 식물형 몬스터 처치	QUEST_LV_0500_20210115_000734	Episode13 지역의 곤충, 악마, 식물형 몬스터 처치	
QUEST_LV_0500_20210809_001179	Episode13-1 지역에서 야수형 몬스터 2000마리 처치	
QUEST_LV_0500_20210809_001180	Episode13-1 지역의 야수형 몬스터 처치	QUEST_LV_0500_20210115_000736	Episode13 지역의 야수형 몬스터 처치	
QUEST_LV_0500_20210809_001181	Episode13-1 지역에서 대형 몬스터 3000마리 처치	
QUEST_LV_0500_20210809_001182	Episode13-1 지역의 대형 몬스터 처치	QUEST_LV_0500_20210115_000738	Episode13 지역의 대형 몬스터 처치	
QUEST_LV_0500_20210809_001183	Episode13-1 지역에서 중형 몬스터 3000마리 처치	
QUEST_LV_0500_20210809_001184	Episode13-1 지역의 중형 몬스터 처치	QUEST_LV_0500_20210115_000740	Episode13 지역의 중형 몬스터 처치	
QUEST_LV_0500_20210809_001185	Episode13-1 지역에서 소형 몬스터 3000마리 처치	
QUEST_LV_0500_20210809_001186	Episode13-1 지역의 소형 몬스터 처치	QUEST_LV_0500_20210115_000742	Episode13 지역의 소형 몬스터 처치	
QUEST_LV_0500_20210809_001187	Episode13-1 지역에서 몬스터 8000마리 처치	
QUEST_LV_0500_20210809_001188	Episode13-1 지역의 몬스터 처치	QUEST_LV_0500_20210115_000744	Episode13 지역의 몬스터 처치	
QUEST_LV_0500_20210809_001189	베르니케 파편 던전 20 스테이지 이상 클리어	
QUEST_LV_0500_20210809_001190	챌린지 모드 10회 클리어{nl}필드 챌린지(1인)는 3단 이상에서 진행할 수 있습니다.	
QUEST_LV_0500_20210809_001191	Episode13-1 지역에서 몬스터 60000마리 처치	
QUEST_LV_0500_20210809_001192	챌린지 모드 80회 클리어{nl}필드 챌린지(1인)는 3단 이상에서 진행할 수 있습니다.	
QUEST_LV_0500_20210809_001193	오르샤 피해복구반 단원과 대화	
QUEST_LV_0500_20210809_001194	렘파라사 연못에서 오르샤 피해복구반 단원이 당신을 기다리고 있습니다	
QUEST_LV_0500_20210809_001195	임시 이주민 캠프의 마족 처치	
QUEST_LV_0500_20210809_001196	렘파라사 연못에 위치한 임시 이주민 캠프의 마족 처치	
QUEST_LV_0500_20210809_001197	마족의 급습	
QUEST_LV_0500_20210809_001198	마족의 급습을 물리치세요	
QUEST_LV_0500_20210809_001199	렘파라사 연못에서 파야우타가 당신을 기다리고 있습니다	
QUEST_LV_0500_20210809_001200	암지나 갈림길의 마족 처치	
QUEST_LV_0500_20210809_001201	렘파라사 연못으로 이동 후 암지나 갈림길의 마족을 처치 하세요	
QUEST_LV_0500_20210809_001202	말코스 벌목지의 마족 처치	
QUEST_LV_0500_20210809_001203	렘파라사 연못으로 이동 후 말코스 벌목지의 마족을 처치하세요	
QUEST_LV_0500_20210809_001204	덧댄다리 숲에서 오르샤 피해복구반 단원이 당신을 기다리고 있습니다	
QUEST_LV_0500_20210809_001205	덧댄다리 숲에서 파야우타가 당신을 기다리고 있습니다	
QUEST_LV_0500_20210809_001206	다르바스 캐리어에게 삽 빼앗기	
QUEST_LV_0500_20210809_001207	덧댄다리 숲에서 다르바스 캐리어를 처치하고 삽을 빼앗아 파야우타에게 건네주세요	
QUEST_LV_0500_20210809_001208	다르바스 캐리어에게 곡괭이 빼앗기	
QUEST_LV_0500_20210809_001209	덧댄다리 숲에서 다르바스 캐리어를 처치하고 곡괭이를 빼앗아 파야우타에게 건네주세요	
QUEST_LV_0500_20210809_001210	다르바스 마이너에게 곡괭이 빼앗기	
QUEST_LV_0500_20210809_001211	다르바스 로더에게 석재 빼앗기	
QUEST_LV_0500_20210809_001212	덧댄다리 숲에서 다르바스 로더를 처치하고 석재를 빼앗아 파야우타에게 건네주세요	
QUEST_LV_0500_20210809_001213	파우피스 나루에서 오르샤 피해복구반 단원이 당신을 기다리고 있습니다	
QUEST_LV_0500_20210809_001214	파우피스 나루에서 파야우타가 당신을 기다리고 있습니다	
QUEST_LV_0500_20210809_001215	파우피스 나루의 고립된 주민 수색	
QUEST_LV_0500_20210809_001216	파우피스 나루 지역에 위치한 민가에서 고립된 주민이 있는지 수색하세요	
QUEST_LV_0500_20210809_001217	아샤크 지하 감옥 방향 수색	
QUEST_LV_0500_20210809_001218	파야우타는 파우피스 나루를 좀 더 확인해보겠다고 합니다. 파야우타와 함께 파우피스 나루를 수색하세요.	
QUEST_LV_0500_20220204_001219	분열 특이점에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}분열 특이점에서는 행동을 주의하세요. 무척 위험한 장소입니다.	QUEST_LV_0500_20200826_000235	차원 붕괴와 분열 특이점에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}특히 분열 특이점에서는 행동을 주의하세요. 무척 위험한 장소입니다.	세이지 파견원
QUEST_LV_0500_20220204_001220	공관 경비병	
QUEST_LV_0500_20220204_001221	멈추십시오!{nl}방문객들은 모두 신분과 방문 사유를 검사하고 있습니다.{nl}그러니 당신도 차례가 올 때까지 기다리셔야 합니다.	공관 경비병
QUEST_LV_0500_20220204_001222	소녀의 환영	
QUEST_LV_0500_20220204_001223	내 인도를 따라 여기까지 왔구나.{nl}불안한 인간들 사이에서도 네 존재가 확실히 느껴져.	소녀의 환영
QUEST_LV_0500_20220204_001224	너는 내 숙명에 묶여 있어.{nl}그러니 내 인도를 받아들이고 따라줬으면 해.	소녀의 환영
QUEST_LV_0500_20220204_001225	난 너를 정해진 시간에 오르샤에 도착할 수 있게 할 거야.{nl}그러니 여기서 이렇게 시간을 낭비하고 있을 수 없다.	소녀의 환영
QUEST_LV_0500_20220204_001226	곧 전투가 시작될 거야.{nl}네가 충분히 상대할 수 있는 상대이니 준비되면 말해줘.	소녀의 환영
QUEST_LV_0500_20220204_001227	대장군 라민	
QUEST_LV_0500_20220204_001228	입구의 마족들을 처치한 게 자네인가?{nl}단순한 피난민은 아닌 것 같군.{nl}자넨 누구지?	대장군 라민
QUEST_LV_0500_20220204_001229	계시의 꿈을 꾸고 왔단 말이군.	대장군 라민
QUEST_LV_0500_20220204_001230	왕국에도 그런 자들이 있다는 소식을 들었지.{nl}그것도 아주 많이.	대장군 라민
QUEST_LV_0500_20220204_001231	여신이 어느 날 밤 자네 같은 사람들의 꿈에 나타나 어딘가로 향한다는 이야기를 했고.{nl}그래서 수십 수 백명이 몰려든다고 생각해보게.{nl}자네가 지휘관이라면 그런 사람들을 믿을 수 있겠나?	대장군 라민
QUEST_LV_0500_20220204_001232	{nl}게다가 왕국 본토도 아닌, 모로스 섬에서 계시자라 주장하다니.{nl}신뢰하기 힘들어.	대장군 라민
QUEST_LV_0500_20220204_001233	{nl}하지만 카오닐라 공주님께서 계시자라 주장하는 사람이 오면 일단 만나보겠다고 하셨으니..{nl}공주님을 찾아가 보게.{nl}	대장군 라민
QUEST_LV_0500_20220204_001234	계시자라 주장하는 자들이 왕국의 클라페다로 모여들기 시작했어.{nl}오래된 이야기지만 라이마는 그들 사이에 진실된 계시자 한 명을 숨겼지.{nl}길티네가 찾을 수 없도록 말이야.	소녀의 환영
QUEST_LV_0500_20220204_001235	하지만 내가 네게 보여준 꿈은 라이마가 보여준 게 아니야.{nl}넌 나를 위해 여기 온 것이고 라이마의 계시는 너와 상관없어.{nl}하지만 왕국의 인간들에게 신뢰를 얻으려면 계시자만큼 훌륭한 신분도 없으니까.{nl}당분간 계시자로 살아가 줘.	소녀의 환영
QUEST_LV_0500_20220204_001236	공주를 만나기 전에 네가 실력자라는 사실을 보여줄 필요가 있어.{nl}물론 공관에 나타난 마족들을 처치한 것만으로도 충분하고 그게 계시의 꿈을 꾼 계시라면 설득력이 있겠지.	소녀의 환영
QUEST_LV_0500_20220204_001237	{nl}하지만 그것만으로는 실력과 신분을 보장받기 힘들 거야.{nl}내가 	소녀의 환영
